=== DOWNLOAD SUMMARY REPORT ===
Symbol          | Status       | Intervals Used            | Total Rows | Date Range
---------------------------------------------------------------------------------------------------------
CPRT.ETORO      | Updated/New  | -                         | 2009       | 2022-04-19 bis 2026-05-21
WDAY.ETORO      | Updated/New  | -                         | 5016       | 2022-04-19 bis 2026-05-21
FISV.ETORO      | Updated/New  | -                         | 3009       | 2022-04-19 bis 2026-05-21
GOOGL.ETORO     | Updated/New  | -                         | 2059       | 2022-04-19 bis 2026-05-21
VLO.ETORO       | Updated/New  | -                         | 2010       | 2022-04-18 bis 2026-05-21
ESLT.ETORO      | Updated/New  | -                         | 1045       | 2025-11-16 bis 2026-05-20
AG.ETORO        | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
WBD.ETORO       | Updated/New  | -                         | 5010       | 2022-04-18 bis 2026-05-21
CAT.ETORO       | Updated/New  | -                         | 2053       | 2022-04-20 bis 2026-05-21
NOW.ETORO       | Updated/New  | -                         | 2059       | 2022-04-19 bis 2026-05-21
INSW.ETORO      | Updated/New  | -                         | 1778       | 2023-11-26 bis 2026-05-20
COHR.ETORO      | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
CMG.ETORO       | Updated/New  | -                         | 2025       | 2022-04-19 bis 2026-05-21
LRCX.ETORO      | Updated/New  | -                         | 2038       | 2022-04-19 bis 2026-05-21
DUOL.ETORO      | Updated/New  | -                         | 2016       | 2022-04-18 bis 2026-05-21
TTD.ETORO       | Updated/New  | -                         | 2021       | 2022-04-19 bis 2026-05-21
MTZ.ETORO       | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
FICO.ETORO      | Updated/New  | -                         | 2014       | 2022-04-19 bis 2026-05-21
TTMI.ETORO      | Updated/New  | -                         | 1774       | 2023-11-26 bis 2026-05-20
LULU.ETORO      | Updated/New  | -                         | 2021       | 2022-04-19 bis 2026-05-21
MU.ETORO        | Updated/New  | -                         | 2063       | 2022-04-20 bis 2026-05-21
HAL.ETORO       | Updated/New  | -                         | 2050       | 2022-04-19 bis 2026-05-21
SE.ETORO        | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
JNJ.ETORO       | Updated/New  | -                         | 2030       | 2022-04-20 bis 2026-05-21
SQM.ETORO       | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
MNDY.ETORO      | Updated/New  | -                         | 2059       | 2022-04-04 bis 2026-05-20
GSAT.ETORO      | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
VRT.ETORO       | Updated/New  | -                         | 2059       | 2022-04-07 bis 2026-05-20
CIEN.ETORO      | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
POWL.ETORO      | Updated/New  | -                         | 1778       | 2023-11-26 bis 2026-05-20
CRM.ETORO       | Updated/New  | -                         | 2042       | 2022-04-19 bis 2026-05-21
WIX.ETORO       | Updated/New  | -                         | 2059       | 2022-04-07 bis 2026-05-20
WDC.ETORO       | Updated/New  | -                         | 2055       | 2022-04-20 bis 2026-05-21
SNAP.ETORO      | Updated/New  | -                         | 2019       | 2022-04-19 bis 2026-05-21
PBR.ETORO       | Updated/New  | -                         | 2059       | 2022-04-07 bis 2026-05-20
TEAM.ETORO      | Updated/New  | -                         | 3020       | 2022-04-19 bis 2026-05-21
E.ETORO         | Updated/New  | -                         | 2059       | 2022-04-04 bis 2026-05-20
PINS.ETORO      | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
GLW.ETORO       | Updated/New  | -                         | 2058       | 2022-04-19 bis 2026-05-21
TSEM.ETORO      | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
STX.US.ETORO    | Updated/New  | -                         | 2043       | 2022-04-19 bis 2026-05-21
EEFT.ETORO      | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
ACN.ETORO       | Updated/New  | -                         | 2011       | 2022-04-19 bis 2026-05-21
GTLB.ETORO      | Updated/New  | -                         | 2059       | 2022-04-04 bis 2026-05-20
ADBE.ETORO      | Updated/New  | -                         | 2054       | 2022-04-20 bis 2026-05-21
CHTR.ETORO      | Updated/New  | -                         | 2008       | 2022-04-19 bis 2026-05-21
DOCU.ETORO      | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
HUBS.ETORO      | Updated/New  | -                         | 2059       | 2022-04-05 bis 2026-05-20
ZS.ETORO        | Updated/New  | -                         | 7041       | 2022-04-19 bis 2026-05-21
