=== DOWNLOAD SUMMARY REPORT ===
Symbol          | Status       | Intervals Used            | Total Rows | Date Range
---------------------------------------------------------------------------------------------------------
NATGAS.ETORO    | Up-to-date   | OneHour                   | 3000       | 2022-07-06 to 2026-05-21
USDZAR.ETORO    | Up-to-date   | OneHour                   | 2000       | 2022-07-14 to 2026-05-21
USDTRY.ETORO    | Up-to-date   | OneHour                   | 2000       | 2022-07-14 to 2026-05-21
CAT.ETORO       | Failed       | -                         | 0          | N/A
JNJ.ETORO       | Up-to-date   | OneHour                   | 3000       | 2022-04-20 to 2026-05-21
PBR.ETORO       | Up-to-date   | OneHour                   | 2000       | 2022-04-07 to 2026-05-20
TSLA.ETORO      | Failed       | -                         | 0          | N/A
ADBE.ETORO      | Up-to-date   | OneHour                   | 6000       | 2022-04-20 to 2026-05-21
WDC.ETORO       | Up-to-date   | OneHour                   | 2000       | 2022-04-20 to 2026-05-21
MU.ETORO        | Failed       | -                         | 0          | N/A
NVDA.ETORO      | Up-to-date   | OneHour                   | 3000       | 2022-04-20 to 2026-05-21
WIX.ETORO       | Failed       | -                         | 0          | N/A
PINS.ETORO      | Up-to-date   | OneHour                   | 2000       | 2022-04-05 to 2026-05-20
ROP.ZU.ETORO    | Up-to-date   | OneHour                   | 2000       | 2022-04-08 to 2026-05-20
ACN.ETORO       | Failed       | -                         | 0          | N/A
VLO.ETORO       | Up-to-date   | OneHour                   | 2000       | 2022-04-18 to 2026-05-21
HAL.ETORO       | Up-to-date   | OneHour                   | 2000       | 2022-04-19 to 2026-05-21
GLW.ETORO       | Failed       | -                         | 0          | N/A
CHTR.ETORO      | Failed       | -                         | 0          | N/A
CRM.ETORO       | Failed       | -                         | 0          | N/A
FISV.ETORO      | Failed       | -                         | 0          | N/A
MTZ.ETORO       | Up-to-date   | OneHour                   | 2000       | 2022-04-05 to 2026-05-20
LRCX.ETORO      | Failed       | -                         | 0          | N/A
CMG.ETORO       | Up-to-date   | OneHour                   | 2000       | 2022-04-19 to 2026-05-21
SNAP.ETORO      | Up-to-date   | OneHour                   | 2000       | 2022-04-19 to 2026-05-21
01211.HK.ETORO  | Up-to-date   | OneHour                   | 2000       | 2022-03-15 to 2026-05-21
RHM.DE.ETORO    | Up-to-date   | OneHour                   | 2000       | 2022-05-10 to 2026-05-20
PALL.ETORO      | Up-to-date   | OneHour                   | 2000       | 2022-04-05 to 2026-05-20
GSAT.ETORO      | Up-to-date   | OneHour                   | 2000       | 2022-04-05 to 2026-05-20
HUBS.ETORO      | Up-to-date   | OneHour                   | 2000       | 2022-04-05 to 2026-05-20
NVS.ETORO       | Up-to-date   | OneHour                   | 2000       | 2022-04-05 to 2026-05-20
NOW.ETORO       | Up-to-date   | OneHour                   | 2000       | 2022-04-19 to 2026-05-21
WDAY.ETORO      | Up-to-date   | OneHour                   | 3000       | 2022-04-19 to 2026-05-21
TEAM.ETORO      | Up-to-date   | OneHour                   | 4000       | 2022-04-19 to 2026-05-21
LULU.ETORO      | Up-to-date   | OneHour                   | 3000       | 2022-04-19 to 2026-05-21
STX.US.ETORO    | Up-to-date   | OneHour                   | 2000       | 2022-04-19 to 2026-05-21
DOCU.ETORO      | Up-to-date   | OneHour                   | 2000       | 2022-04-05 to 2026-05-20
