=== DOWNLOAD SUMMARY REPORT ===
Symbol          | Status       | Intervals Used            | Total Rows | Date Range
---------------------------------------------------------------------------------------------------------
CPRT.ETORO      | Failed       | -                         | 0          | N/A
WDAY.ETORO      | Failed       | -                         | 0          | N/A
FISV.ETORO      | Failed       | -                         | 0          | N/A
GOOGL.ETORO     | Failed       | -                         | 0          | N/A
VLO.ETORO       | Failed       | -                         | 0          | N/A
ESLT.ETORO      | Failed       | -                         | 0          | N/A
AG.ETORO        | Failed       | -                         | 0          | N/A
WBD.ETORO       | Failed       | -                         | 0          | N/A
CAT.ETORO       | Failed       | -                         | 0          | N/A
NOW.ETORO       | Failed       | -                         | 0          | N/A
INSW.ETORO      | Failed       | -                         | 0          | N/A
COHR.ETORO      | Failed       | -                         | 0          | N/A
CMG.ETORO       | Failed       | -                         | 0          | N/A
LRCX.ETORO      | Failed       | -                         | 0          | N/A
DUOL.ETORO      | Failed       | -                         | 0          | N/A
TTD.ETORO       | Failed       | -                         | 0          | N/A
MTZ.ETORO       | Failed       | -                         | 0          | N/A
FICO.ETORO      | Failed       | -                         | 0          | N/A
TTMI.ETORO      | Failed       | -                         | 0          | N/A
LULU.ETORO      | Failed       | -                         | 0          | N/A
MU.ETORO        | Failed       | -                         | 0          | N/A
HAL.ETORO       | Failed       | -                         | 0          | N/A
SE.ETORO        | Failed       | -                         | 0          | N/A
JNJ.ETORO       | Failed       | -                         | 0          | N/A
SQM.ETORO       | Failed       | -                         | 0          | N/A
MNDY.ETORO      | Failed       | -                         | 0          | N/A
GSAT.ETORO      | Failed       | -                         | 0          | N/A
VRT.ETORO       | Failed       | -                         | 0          | N/A
CIEN.ETORO      | Failed       | -                         | 0          | N/A
POWL.ETORO      | Failed       | -                         | 0          | N/A
CRM.ETORO       | Failed       | -                         | 0          | N/A
WIX.ETORO       | Failed       | -                         | 0          | N/A
WDC.ETORO       | Failed       | -                         | 0          | N/A
SNAP.ETORO      | Failed       | -                         | 0          | N/A
PBR.ETORO       | Failed       | -                         | 0          | N/A
TEAM.ETORO      | Failed       | -                         | 0          | N/A
E.ETORO         | Failed       | -                         | 0          | N/A
PINS.ETORO      | Failed       | -                         | 0          | N/A
GLW.ETORO       | Failed       | -                         | 0          | N/A
TSEM.ETORO      | Failed       | -                         | 0          | N/A
STX.US.ETORO    | Failed       | -                         | 0          | N/A
EEFT.ETORO      | Failed       | -                         | 0          | N/A
ACN.ETORO       | Failed       | -                         | 0          | N/A
GTLB.ETORO      | Failed       | -                         | 0          | N/A
ADBE.ETORO      | Failed       | -                         | 0          | N/A
CHTR.ETORO      | Failed       | -                         | 0          | N/A
DOCU.ETORO      | Failed       | -                         | 0          | N/A
HUBS.ETORO      | Failed       | -                         | 0          | N/A
ZS.ETORO        | Failed       | -                         | 0          | N/A
