=== DOWNLOAD SUMMARY REPORT ===
Symbol          | Status       | Intervals Used            | Total Rows | Date Range
---------------------------------------------------------------------------------------------------------
NATGAS.ETORO    | Updated/New  | OneHour, OneDay           | 0          | N/A
USDZAR.ETORO    | Updated/New  | OneHour, OneDay           | 0          | N/A
USDTRY.ETORO    | Updated/New  | OneHour, OneDay           | 0          | N/A
CAT.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
JNJ.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
PBR.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
TSLA.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
ADBE.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
WDC.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
MU.ETORO        | Updated/New  | OneHour, OneDay           | 0          | N/A
NVDA.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
WIX.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
PINS.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
ROP.ZU.ETORO    | Updated/New  | OneHour, OneDay           | 0          | N/A
ACN.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
VLO.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
HAL.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
GLW.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
CHTR.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
CRM.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
FISV.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
MTZ.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
LRCX.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
CMG.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
SNAP.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
01211.HK.ETORO  | Updated/New  | OneHour, OneDay           | 0          | N/A
RHM.DE.ETORO    | Updated/New  | OneHour, OneDay           | 0          | N/A
PALL.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
