=== DOWNLOAD SUMMARY REPORT ===
Symbol          | Status       | Intervals Used            | Total Rows | Date Range
---------------------------------------------------------------------------------------------------------
NATGAS.ETORO    | Updated/New  | OneHour                   | 170        | 2025-11-18 to 2026-05-15
USDZAR.ETORO    | Updated/New  | OneHour                   | 324        | 2025-11-18 to 2026-05-15
USDTRY.ETORO    | Updated/New  | OneHour                   | 150        | 2025-11-18 to 2026-05-15
CAT.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
JNJ.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
PBR.ETORO       | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
TSLA.ETORO      | Updated/New  | OneHour                   | 191        | 2025-11-18 to 2026-05-15
ADBE.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
WDC.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
MU.ETORO        | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
NVDA.ETORO      | Updated/New  | OneHour                   | 231        | 2025-11-18 to 2026-05-15
WIX.ETORO       | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
PINS.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
ROP.ZU.ETORO    | Updated/New  | OneHour                   | 124        | 2025-11-18 to 2026-05-15
ACN.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
VLO.ETORO       | Updated/New  | OneHour                   | 138        | 2025-11-18 to 2026-05-15
HAL.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
GLW.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
CHTR.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
CRM.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
FISV.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
MTZ.ETORO       | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
LRCX.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
CMG.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
SNAP.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
01211.HK.ETORO  | Updated/New  | OneHour                   | 122        | 2025-11-18 to 2026-05-15
RHM.DE.ETORO    | Updated/New  | OneHour                   | 166        | 2025-11-18 to 2026-05-15
PALL.ETORO      | Updated/New  | OneHour                   | 126        | 2025-11-18 to 2026-05-15
GSAT.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
HUBS.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
NVS.ETORO       | Updated/New  | OneHour                   | 126        | 2025-11-18 to 2026-05-15
NOW.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
WDAY.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
TEAM.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
LULU.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
STX.US.ETORO    | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
DOCU.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
TTD.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
ZS.ETORO        | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
CIEN.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
FSLY.ETORO      | Updated/New  | OneHour                   | 168        | 2025-11-18 to 2026-05-15
EEFT.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
SE.ETORO        | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
CPRT.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
COHR.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
RIOT.ETORO      | Updated/New  | OneHour                   | 147        | 2025-11-18 to 2026-05-15
GOOGL.ETORO     | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
TSEM.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
AG.ETORO        | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
XPEV.ETORO      | Updated/New  | OneHour                   | 126        | 2025-11-18 to 2026-05-15
SQM.ETORO       | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
PLTR.ETORO      | Updated/New  | OneHour                   | 156        | 2025-11-18 to 2026-05-15
GTLB.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
WBD.ETORO       | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
DUOL.ETORO      | Updated/New  | OneHour                   | 141        | 2025-11-18 to 2026-05-15
E.ETORO         | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
HUT.ETORO       | Updated/New  | OneHour                   | 145        | 2025-11-18 to 2026-05-15
VRT.ETORO       | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
FICO.ETORO      | Updated/New  | OneHour                   | 139        | 2025-11-18 to 2026-05-15
INSM.ETORO      | Updated/New  | OneHour                   | 148        | 2025-11-18 to 2026-05-15
MNDY.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
INSW.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
TTMI.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
POWL.ETORO      | Updated/New  | OneHour                   | 125        | 2025-11-18 to 2026-05-15
ESLT.ETORO      | Updated/New  | OneHour                   | 123        | 2025-11-20 to 2026-05-15
BTC.ETORO       | Updated/New  | OneHour                   | 284        | 2025-11-18 to 2026-05-17
ETH.ETORO       | Updated/New  | OneHour                   | 274        | 2025-11-18 to 2026-05-17
XRP.ETORO       | Updated/New  | OneHour                   | 245        | 2025-11-18 to 2026-05-17
ADA.ETORO       | Updated/New  | OneHour                   | 241        | 2025-11-18 to 2026-05-17
DOGE.ETORO      | Updated/New  | OneHour                   | 306        | 2025-11-18 to 2026-05-17
SOL.ETORO       | Updated/New  | OneHour                   | 284        | 2025-11-18 to 2026-05-17
SHIBxM.ETORO    | Updated/New  | OneHour                   | 194        | 2025-11-18 to 2026-05-17
AVAX.ETORO      | Updated/New  | OneHour                   | 193        | 2025-11-18 to 2026-05-17
PEPExM.ETORO    | Updated/New  | OneHour                   | 205        | 2025-11-18 to 2026-05-17
ONDO.ETORO      | Updated/New  | OneHour                   | 201        | 2025-11-18 to 2026-05-17
AERO.ETORO      | Updated/New  | OneHour                   | 284        | 2025-11-18 to 2026-05-17
HYPE.ETORO      | Updated/New  | OneHour                   | 266        | 2025-11-18 to 2026-05-17
