=== DOWNLOAD SUMMARY REPORT ===
Symbol          | Status       | Intervals Used            | Total Rows | Date Range
---------------------------------------------------------------------------------------------------------
CPRT.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
WDAY.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
FISV.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
GOOGL.ETORO     | Updated/New  | OneHour, OneDay           | 0          | N/A
VLO.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
ESLT.ETORO      | Updated/New  | OneHour, OneDay, OneWeek  | 0          | N/A
AG.ETORO        | Updated/New  | OneHour, OneDay           | 0          | N/A
WBD.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
CAT.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
NOW.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
INSW.ETORO      | Updated/New  | OneHour, OneDay, OneWeek  | 0          | N/A
COHR.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
CMG.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
LRCX.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
DUOL.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
TTD.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
MTZ.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
FICO.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
TTMI.ETORO      | Updated/New  | OneHour, OneDay, OneWeek  | 0          | N/A
LULU.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
MU.ETORO        | Updated/New  | OneHour, OneDay           | 0          | N/A
HAL.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
SE.ETORO        | Updated/New  | OneHour, OneDay           | 0          | N/A
JNJ.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
SQM.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
MNDY.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
GSAT.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
VRT.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
CIEN.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
POWL.ETORO      | Updated/New  | OneHour, OneDay, OneWeek  | 0          | N/A
CRM.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
WIX.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
WDC.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
SNAP.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
PBR.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
TEAM.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
E.ETORO         | Updated/New  | OneHour, OneDay           | 0          | N/A
PINS.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
GLW.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
TSEM.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
STX.US.ETORO    | Updated/New  | OneHour, OneDay           | 0          | N/A
EEFT.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
ACN.ETORO       | Updated/New  | OneHour, OneDay           | 0          | N/A
GTLB.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
ADBE.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
CHTR.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
DOCU.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
HUBS.ETORO      | Updated/New  | OneHour, OneDay           | 0          | N/A
ZS.ETORO        | Updated/New  | OneHour, OneDay           | 0          | N/A
