2026-08-26T07:28:48.321+00:00 | ℹ️  INFO     | optimizer                      | [DynamicBreakoutStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "DynamicBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "DynamicBreakoutStrategy", "study_name": "study_DynamicBreakoutStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.321+00:00"}
2026-08-26T07:28:48.326+00:00 | ℹ️  INFO     | optimizer                      | [ComboTrendVwapStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "ComboTrendVwapStrategy", "severity": "medium", "source": "sweep", "strategy": "ComboTrendVwapStrategy", "study_name": "study_ComboTrendVwapStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.326+00:00"}
2026-08-26T07:28:48.331+00:00 | ℹ️  INFO     | optimizer                      | [HourlyMeanReversionStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "HourlyMeanReversionStrategy", "severity": "medium", "source": "sweep", "strategy": "HourlyMeanReversionStrategy", "study_name": "study_HourlyMeanReversionStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.331+00:00"}
2026-08-26T07:28:48.332+00:00 | ℹ️  INFO     | optimizer                      | [VolatilityBreakoutPumpStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "VolatilityBreakoutPumpStrategy", "severity": "medium", "source": "sweep", "strategy": "VolatilityBreakoutPumpStrategy", "study_name": "study_VolatilityBreakoutPumpStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.332+00:00"}
2026-08-26T07:28:48.333+00:00 | ℹ️  INFO     | optimizer                      | [AdxAtrMomentumStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "AdxAtrMomentumStrategy", "severity": "medium", "source": "sweep", "strategy": "AdxAtrMomentumStrategy", "study_name": "study_AdxAtrMomentumStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.333+00:00"}
2026-08-26T07:28:48.333+00:00 | ℹ️  INFO     | optimizer                      | [SqueezeBreakoutStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "SqueezeBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "SqueezeBreakoutStrategy", "study_name": "study_SqueezeBreakoutStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.333+00:00"}
2026-08-26T07:28:48.334+00:00 | ℹ️  INFO     | optimizer                      | [VwapExhaustionStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "VwapExhaustionStrategy", "severity": "medium", "source": "sweep", "strategy": "VwapExhaustionStrategy", "study_name": "study_VwapExhaustionStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.334+00:00"}
2026-08-26T07:28:48.338+00:00 | ℹ️  INFO     | optimizer                      | [TrendPullbackStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "TrendPullbackStrategy", "severity": "medium", "source": "sweep", "strategy": "TrendPullbackStrategy", "study_name": "study_TrendPullbackStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.338+00:00"}
2026-08-26T07:28:48.341+00:00 | ℹ️  INFO     | optimizer                      | [Rsi2ReversionStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "Rsi2ReversionStrategy", "severity": "medium", "source": "sweep", "strategy": "Rsi2ReversionStrategy", "study_name": "study_Rsi2ReversionStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.341+00:00"}
2026-08-26T07:28:48.342+00:00 | ℹ️  INFO     | optimizer                      | [DonchianRegimeBreakoutStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "DonchianRegimeBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "DonchianRegimeBreakoutStrategy", "study_name": "study_DonchianRegimeBreakoutStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.342+00:00"}
2026-08-26T07:28:48.346+00:00 | ℹ️  INFO     | optimizer                      | [OpeningRangeBreakoutStrategy/NVDA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "f13f29db_20260826T072845758251", "scope": "OpeningRangeBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "OpeningRangeBreakoutStrategy", "study_name": "study_OpeningRangeBreakoutStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:48.345+00:00"}
2026-08-26T07:28:48.863+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/NVDA.ETORO] [#565] FlashCrashReversalStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:48.903+00:00 | ⚠️  WARNING  | optimizer                      | [HourlyMeanReversionStrategy/NVDA.ETORO] [#565] HourlyMeanReversionStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:48.909+00:00 | ⚠️  WARNING  | optimizer                      | [DonchianRegimeBreakoutStrategy/NVDA.ETORO] [#565] DonchianRegimeBreakoutStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:48.943+00:00 | ⚠️  WARNING  | optimizer                      | [DynamicBreakoutStrategy/NVDA.ETORO] [#565] DynamicBreakoutStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:48.944+00:00 | ⚠️  WARNING  | optimizer                      | [SmaCrossoverStrategy/NVDA.ETORO] [#565] SmaCrossoverStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.008+00:00 | ⚠️  WARNING  | optimizer                      | [OpeningRangeBreakoutStrategy/NVDA.ETORO] [#565] OpeningRangeBreakoutStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.053+00:00 | ⚠️  WARNING  | optimizer                      | [Rsi2ReversionStrategy/NVDA.ETORO] [#565] Rsi2ReversionStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.077+00:00 | ⚠️  WARNING  | optimizer                      | [SqueezeBreakoutStrategy/NVDA.ETORO] [#565] SqueezeBreakoutStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.080+00:00 | ⚠️  WARNING  | optimizer                      | [VolatilityBreakoutPumpStrategy/NVDA.ETORO] [#565] VolatilityBreakoutPumpStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.104+00:00 | ⚠️  WARNING  | optimizer                      | [AdxAtrMomentumStrategy/NVDA.ETORO] [#565] AdxAtrMomentumStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.109+00:00 | ⚠️  WARNING  | optimizer                      | [TrendPullbackStrategy/NVDA.ETORO] [#565] TrendPullbackStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.121+00:00 | ⚠️  WARNING  | optimizer                      | [ComboTrendVwapStrategy/NVDA.ETORO] [#565] ComboTrendVwapStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.145+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/NVDA.ETORO] [#565] MeanReversionStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:49.157+00:00 | ⚠️  WARNING  | optimizer                      | [VwapExhaustionStrategy/NVDA.ETORO] [#565] VwapExhaustionStrategy/NVDA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-26T07:28:55.065+00:00 | ℹ️  INFO     | optimizer                      | [SqueezeBreakoutStrategy/NVDA.ETORO] [JSON_EVENT] {"backtest_ms": 4165, "data_window_days": 381.0, "data_window_end": "2026-07-12T00:00:00+00:00", "data_window_start": "2025-06-26T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": null, "hit_trade_cap": false, "is_rejection_detail": "REJECT_OOS_NOT_EVALUATED", "is_sortino_median": 0.0, "is_total_trades": 0, "oos_coherence_violation": false, "oos_coverage_gap_days": null, "oos_covered": null, "oos_eligible": false, "oos_evaluated": false, "oos_expectancy": null, "oos_gate_deltas": {}, "oos_profit_factor": 0.0, "oos_rejection_reasons": ["oos_not_evaluable: Kein oder zu wenig OOS-Datenmaterial (total_trades <= 0)."], "oos_sortino": 0.0, "oos_total_return": 0.0, "oos_total_trades": 0, "oos_win_rate": 0.0, "oos_window_start_ns": null, "outcome": "unevaluable", "per_fold_oos_sortino": [], "per_fold_oos_sortino_period": [], "rejection_reason": "oos_not_evaluated", "reward": -20.0, "reward_terms": {"base": 0.0, "branch": "unevaluable", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.0, "param_pen": 0.0, "tie_breaker": 0.0, "time_box_penalty": 0.0, "turnover": 0.0}, "run_id": "f13f29db_20260826T072845758251", "strategy": "SqueezeBreakoutStrategy", "study_name": "study_SqueezeBreakoutStrategy_NVDA_ETORO", "symbol": "NVDA.ETORO", "timestamp_utc": "2026-08-26T07:28:55.065+00:00", "trial_number": 0}
