2026-08-06T04:29:03.775+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.775+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 273.62, "required_days": 426.0, "delta_days": 152.38}
2026-08-06T04:29:03.776+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.776+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 257.62, "required_days": 426.0, "delta_days": 168.38}
2026-08-06T04:29:03.776+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.776+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 320.62, "required_days": 426.0, "delta_days": 105.38}
2026-08-06T04:29:03.776+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.776+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 273.62, "required_days": 426.0, "delta_days": 152.38}
2026-08-06T04:29:03.776+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.776+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 257.62, "required_days": 426.0, "delta_days": 168.38}
2026-08-06T04:29:03.776+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.776+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 320.62, "required_days": 426.0, "delta_days": 105.38}
2026-08-06T04:29:03.776+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.776+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 273.62, "required_days": 426.0, "delta_days": 152.38}
2026-08-06T04:29:03.776+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.776+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 257.62, "required_days": 426.0, "delta_days": 168.38}
2026-08-06T04:29:03.776+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.776+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 320.62, "required_days": 426.0, "delta_days": 105.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 273.62, "required_days": 426.0, "delta_days": 152.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 257.62, "required_days": 426.0, "delta_days": 168.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 320.62, "required_days": 426.0, "delta_days": 105.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 273.62, "required_days": 426.0, "delta_days": 152.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 257.62, "required_days": 426.0, "delta_days": 168.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 320.62, "required_days": 426.0, "delta_days": 105.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 273.62, "required_days": 426.0, "delta_days": 152.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 257.62, "required_days": 426.0, "delta_days": 168.38}
2026-08-06T04:29:03.777+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T04:29:03.777+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "ea4c409d_20260806T042903169771", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 320.62, "required_days": 426.0, "delta_days": 105.38}
