2026-08-16T09:08:28.959+00:00 | ⚠️  WARNING  | optimizer                      | [DonchianRegimeBreakoutStrategy/NATGAS.ETORO] [#565] DonchianRegimeBreakoutStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:29.005+00:00 | ⚠️  WARNING  | optimizer                      | [VwapExhaustionStrategy/NATGAS.ETORO] [#565] VwapExhaustionStrategy/NATGAS.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-08-16T09:08:34.678+00:00 | ℹ️  INFO     | optimizer                      | [SqueezeBreakoutStrategy/NATGAS.ETORO] [JSON_EVENT] {"backtest_ms": 3969, "data_window_days": 381.0, "data_window_end": "2026-06-30T00:00:00+00:00", "data_window_start": "2025-06-14T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": null, "hit_trade_cap": false, "is_rejection_detail": "REJECT_OOS_NOT_EVALUATED", "is_sortino_median": 0.0, "is_total_trades": 0, "oos_coherence_violation": false, "oos_coverage_gap_days": null, "oos_covered": null, "oos_eligible": false, "oos_evaluated": false, "oos_expectancy": null, "oos_gate_deltas": {}, "oos_profit_factor": 0.0, "oos_rejection_reasons": ["oos_not_evaluable: Kein oder zu wenig OOS-Datenmaterial (total_trades <= 0)."], "oos_sortino": 0.0, "oos_total_return": 0.0, "oos_total_trades": 0, "oos_win_rate": 0.0, "oos_window_start_ns": null, "outcome": "unevaluable", "per_fold_oos_sortino": [], "per_fold_oos_sortino_period": [], "rejection_reason": "oos_not_evaluated", "reward": -20.0, "reward_terms": {"base": 0.0, "branch": "unevaluable", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.0, "param_pen": 0.0, "tie_breaker": 0.0, "time_box_penalty": 0.0, "turnover": 0.0}, "run_id": "c110fe38_20260816T090824052985", "strategy": "SqueezeBreakoutStrategy", "study_name": "study_SqueezeBreakoutStrategy_NATGAS_ETORO", "symbol": "NATGAS.ETORO", "timestamp_utc": "2026-08-16T09:08:34.678+00:00", "trial_number": 0}
2026-08-16T09:08:35.378+00:00 | ℹ️  INFO     | optimizer                      | [OpeningRangeBreakoutStrategy/NATGAS.ETORO] [JSON_EVENT] {"backtest_ms": 3978, "data_window_days": 381.0, "data_window_end": "2026-06-30T00:00:00+00:00", "data_window_start": "2025-06-14T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782687600000000000, "hit_trade_cap": false, "is_rejection_detail": "NONE", "is_sortino_median": 0.0, "is_total_trades": 0, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": true, "oos_evaluated": true, "oos_expectancy": 0.0007746794978400776, "oos_gate_deltas": {"oos_max_drawdown": 0.2922836807846067, "oos_min_excess_return": 0.10976460290350121, "oos_min_expectancy": 0.0006246794978400776, "oos_min_profit_factor": 0.10048466580978865, "oos_min_profitable_folds_frac": 0.5, "oos_min_psr": 0.1604369719896891, "oos_min_sortino": 0.952515910539024, "oos_min_total_return": 0.009849999999999914, "oos_min_trades": 67.0, "oos_min_win_rate": 0.17}, "oos_profit_factor": 1.2004846658097887, "oos_rejection_reasons": [], "oos_sortino": 1.382515910539024, "oos_total_return": 0.009849999999999914, "oos_total_trades": 75, "oos_win_rate": 0.32, "oos_window_start_ns": 1767225600000000000, "outcome": "evaluable", "per_fold_oos_sortino": [1.4829677065642237, 2.3377025338237423], "per_fold_oos_sortino_period": [0.043207355073159294, 0.04743114869500692], "rejection_reason": "none", "reward": 0.6890862948578557, "reward_terms": {"base": 0.7077088892761079, "branch": "per_symbol", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.010115094418252183, "gate_distance_penalty": 0.0, "param_pen": 0.0, "tie_breaker": 0.0004924999999999958, "time_box_penalty": 0.0, "turnover": 0.009}, "run_id": "c110fe38_20260816T090824052985", "strategy": "OpeningRangeBreakoutStrategy", "study_name": "study_OpeningRangeBreakoutStrategy_NATGAS_ETORO", "symbol": "NATGAS.ETORO", "timestamp_utc": "2026-08-16T09:08:35.378+00:00", "trial_number": 0}
2026-08-16T09:08:36.324+00:00 | ℹ️  INFO     | optimizer                      | [SmaCrossoverStrategy/NATGAS.ETORO] [JSON_EVENT] {"backtest_ms": 4680, "data_window_days": 381.0, "data_window_end": "2026-06-30T00:00:00+00:00", "data_window_start": "2025-06-14T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782727200000000000, "hit_trade_cap": false, "is_rejection_detail": "NONE", "is_sortino_median": 0.0, "is_total_trades": 64, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": true, "oos_evaluated": true, "oos_expectancy": 0.004036565811428432, "oos_gate_deltas": {"oos_max_drawdown": 0.2884149113639286, "oos_min_excess_return": 0.1576004204931597, "oos_min_expectancy": 0.003886565811428432, "oos_min_profit_factor": 0.7865182016312187, "oos_min_profitable_folds_frac": 0.25, "oos_min_psr": 0.32802818312139914, "oos_min_sortino": 5.367499493876978, "oos_min_total_return": 0.057685817589658406, "oos_min_trades": 88.0, "oos_min_win_rate": 0.27708333333333335}, "oos_profit_factor": 1.8865182016312187, "oos_rejection_reasons": [], "oos_sortino": 5.797499493876978, "oos_total_return": 0.057685817589658406, "oos_total_trades": 96, "oos_win_rate": 0.4270833333333333, "oos_window_start_ns": 1767225600000000000, "outcome": "evaluable", "per_fold_oos_sortino": [], "per_fold_oos_sortino_period": [0.9515948693532784, 0.08805240584069442, 0.08657320199687257, -0.028681145532793724], "rejection_reason": "none", "reward": 1.3799168319208333, "reward_terms": {"base": 1.4612617093047144, "branch": "per_symbol", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.07270916826336409, "gate_distance_penalty": 0.0, "param_pen": 0.0, "tie_breaker": 0.0028842908794829204, "time_box_penalty": 0.0, "turnover": 0.01152}, "run_id": "c110fe38_20260816T090824052985", "strategy": "SmaCrossoverStrategy", "study_name": "study_SmaCrossoverStrategy_NATGAS_ETORO", "symbol": "NATGAS.ETORO", "timestamp_utc": "2026-08-16T09:08:36.324+00:00", "trial_number": 0}
2026-08-16T09:08:37.023+00:00 | ℹ️  INFO     | optimizer                      | [Rsi2ReversionStrategy/NATGAS.ETORO] [JSON_EVENT] {"backtest_ms": 5176, "data_window_days": 381.0, "data_window_end": "2026-06-30T00:00:00+00:00", "data_window_start": "2025-06-14T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782716400000000000, "hit_trade_cap": false, "is_rejection_detail": "REJECT_OOS_MIN_PSR", "is_sortino_median": 0.4625087414957097, "is_total_trades": 101, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": false, "oos_evaluated": true, "oos_expectancy": -0.0009637419452071661, "oos_gate_deltas": {"oos_max_drawdown": 0.23183589349443695, "oos_min_excess_return": 0.07875797571324994, "oos_min_expectancy": -0.0011137419452071661, "oos_min_profit_factor": -0.23732194512646765, "oos_min_profitable_folds_frac": -0.25, "oos_min_psr": -0.24244385788122114, "oos_min_sortino": -1.1345304814786497, "oos_min_total_return": -0.021156627190251354, "oos_min_trades": 153.0, "oos_min_win_rate": 0.19161490683229812}, "oos_profit_factor": 0.8626780548735324, "oos_rejection_reasons": ["oos_min_psr: 0.357556 < 0.6 (Δ=-2.424e-01)"], "oos_sortino": -0.7045304814786496, "oos_total_return": -0.021156627190251354, "oos_total_trades": 161, "oos_win_rate": 0.3416149068322981, "oos_window_start_ns": 1767225600000000000, "outcome": "evaluable", "per_fold_oos_sortino": [0.16663274420448687, -4.687757316837921, -0.759908381875559, 0.07894763716112622], "per_fold_oos_sortino_period": [0.010176849823817212, -0.28629788491879893, -0.017067751492023036, 0.0013954073773970517], "rejection_reason": "oos_gate_rejected", "reward": -0.6613074385444425, "reward_terms": {"base": -0.36499882380427257, "branch": "failure", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.030463040229761658, "gate_distance_penalty": 0.24546774315089576, "param_pen": 0.0, "tie_breaker": -0.0010578313595125677, "time_box_penalty": 0.0, "turnover": 0.01932}, "run_id": "c110fe38_20260816T090824052985", "strategy": "Rsi2ReversionStrategy", "study_name": "study_Rsi2ReversionStrategy_NATGAS_ETORO", "symbol": "NATGAS.ETORO", "timestamp_utc": "2026-08-16T09:08:37.022+00:00", "trial_number": 0}
2026-08-16T09:08:37.046+00:00 | ℹ️  INFO     | optimizer                      | [DonchianRegimeBreakoutStrategy/NATGAS.ETORO] [JSON_EVENT] {"backtest_ms": 5291, "data_window_days": 381.0, "data_window_end": "2026-06-30T00:00:00+00:00", "data_window_start": "2025-06-14T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782705600000000000, "hit_trade_cap": false, "is_rejection_detail": "REJECT_OOS_MIN_PSR", "is_sortino_median": -5.394981697685075, "is_total_trades": 61, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": false, "oos_evaluated": true, "oos_expectancy": -0.0048924041900516866, "oos_gate_deltas": {"oos_max_drawdown": 0.2090911039036878, "oos_min_excess_return": 0.00900570680718904, "oos_min_expectancy": -0.0050424041900516865, "oos_min_profit_factor": -0.8823735142311113, "oos_min_profitable_folds_frac": -0.5, "oos_min_psr": -0.5999999999989594, "oos_min_sortino": -6.291539143991343, "oos_min_total_return": -0.09090889609631225, "oos_min_trades": 110.0, "oos_min_win_rate": 0.273728813559322}, "oos_profit_factor": 0.21762648576888882, "oos_rejection_reasons": ["oos_min_psr: 1.04056e-12 < 0.6 (Δ=-6.000e-01)"], "oos_sortino": -5.861539143991343, "oos_total_return": -0.09090889609631225, "oos_total_trades": 118, "oos_win_rate": 0.423728813559322, "oos_window_start_ns": 1767225600000000000, "outcome": "evaluable", "per_fold_oos_sortino": [-6.017752865222916, -5.8079298898932965, -5.156674808555832, -7.16742257354649], "per_fold_oos_sortino_period": [-0.41405464734989755, -0.4159352554029548, -0.1644701349298222, -0.17692830405946042], "rejection_reason": "oos_gate_rejected", "reward": -7.803545184873584, "reward_terms": {"base": -7.028935860448559, "branch": "failure", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.019353355863748044, "gate_distance_penalty": 0.7365505237564608, "param_pen": 0.0, "tie_breaker": -0.004545444804815613, "time_box_penalty": 0.0, "turnover": 0.014159999999999999}, "run_id": "c110fe38_20260816T090824052985", "strategy": "DonchianRegimeBreakoutStrategy", "study_name": "study_DonchianRegimeBreakoutStrategy_NATGAS_ETORO", "symbol": "NATGAS.ETORO", "timestamp_utc": "2026-08-16T09:08:37.046+00:00", "trial_number": 0}
2026-08-16T09:08:37.124+00:00 | ℹ️  INFO     | optimizer                      | [FlashCrashReversalStrategy/NATGAS.ETORO] [JSON_EVENT] {"backtest_ms": 5542, "data_window_days": 381.0, "data_window_end": "2026-06-30T00:00:00+00:00", "data_window_start": "2025-06-14T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782741600000000000, "hit_trade_cap": false, "is_rejection_detail": "REJECT_OOS_MIN_PSR", "is_sortino_median": -10.574574323848543, "is_total_trades": 58, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": false, "oos_evaluated": true, "oos_expectancy": -0.0010770910590485398, "oos_gate_deltas": {"oos_max_drawdown": 0.27908603320285585, "oos_min_excess_return": 0.08577796582927366, "oos_min_expectancy": -0.0012270910590485397, "oos_min_profit_factor": -0.5234388430797071, "oos_min_profitable_folds_frac": -0.25, "oos_min_psr": -0.5108085576174746, "oos_min_sortino": -2.831667021634499, "oos_min_total_return": -0.014136637074227631, "oos_min_trades": 88.0, "oos_min_win_rate": 0.027083333333333348}, "oos_profit_factor": 0.576561156920293, "oos_rejection_reasons": ["oos_min_psr: 0.0891914 < 0.6 (Δ=-5.108e-01)"], "oos_sortino": -2.401667021634499, "oos_total_return": -0.014136637074227631, "oos_total_trades": 96, "oos_win_rate": 0.17708333333333334, "oos_window_start_ns": 1767225600000000000, "outcome": "evaluable", "per_fold_oos_sortino": [50.019650826294225, -12.492781483850814, -2.590707150017045, -5.835133717178157], "per_fold_oos_sortino_period": [3.102241874630015, -0.8435042026171421, -0.1455445706794933, -0.21343561422514493], "rejection_reason": "oos_gate_rejected", "reward": -1.6439006855913563, "reward_terms": {"base": -1.3457508388102029, "branch": "failure", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.026286632546374686, "gate_distance_penalty": 0.2596363823810675, "param_pen": 0.0, "tie_breaker": -0.0007068318537113816, "time_box_penalty": 0.0, "turnover": 0.01152}, "run_id": "c110fe38_20260816T090824052985", "strategy": "FlashCrashReversalStrategy", "study_name": "study_FlashCrashReversalStrategy_NATGAS_ETORO", "symbol": "NATGAS.ETORO", "timestamp_utc": "2026-08-16T09:08:37.124+00:00", "trial_number": 0}
2026-08-16T09:08:37.174+00:00 | ℹ️  INFO     | optimizer                      | [VolatilityBreakoutPumpStrategy/NATGAS.ETORO] [JSON_EVENT] {"backtest_ms": 5431, "data_window_days": 381.0, "data_window_end": "2026-06-30T00:00:00+00:00", "data_window_start": "2025-06-14T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782759600000000000, "hit_trade_cap": false, "is_rejection_detail": "REJECT_OOS_MIN_PSR", "is_sortino_median": -1.8597076926403655, "is_total_trades": 64, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": false, "oos_evaluated": true, "oos_expectancy": -0.00032265506705923065, "oos_gate_deltas": {"oos_max_drawdown": 0.2798197104147545, "oos_min_excess_return": 0.09681016096871975, "oos_min_expectancy": -0.00047265506705923067, "oos_min_profit_factor": -0.17029605039620144, "oos_min_profitable_folds_frac": 0.0, "oos_min_psr": -0.1535095213026904, "oos_min_sortino": -0.6410063675774771, "oos_min_total_return": -0.0031044419347815433, "oos_min_trades": 84.0, "oos_min_win_rate": 0.1326086956521739}, "oos_profit_factor": 0.9297039496037987, "oos_rejection_reasons": ["oos_min_psr: 0.44649 < 0.6 (Δ=-1.535e-01)"], "oos_sortino": -0.21100636757747704, "oos_total_return": -0.0031044419347815433, "oos_total_trades": 92, "oos_win_rate": 0.2826086956521739, "oos_window_start_ns": 1767225600000000000, "outcome": "evaluable", "per_fold_oos_sortino": [-0.7038013997621799, -3.9665931798438576, 2.0469297430685436, 0.4327884702405831], "per_fold_oos_sortino_period": [-0.04666390720172063, -0.2901774981536026, 0.06611072534522114, 0.009327445810051108], "rejection_reason": "oos_gate_rejected", "reward": -0.32274474091560007, "reward_terms": {"base": -0.1345332031731442, "branch": "failure", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.011684432263313017, "gate_distance_penalty": 0.16533188338240382, "param_pen": 0.0, "tie_breaker": -0.00015522209673907717, "time_box_penalty": 0.0, "turnover": 0.01104}, "run_id": "c110fe38_20260816T090824052985", "strategy": "VolatilityBreakoutPumpStrategy", "study_name": "study_VolatilityBreakoutPumpStrategy_NATGAS_ETORO", "symbol": "NATGAS.ETORO", "timestamp_utc": "2026-08-16T09:08:37.173+00:00", "trial_number": 0}
2026-08-16T09:08:37.441+00:00 | ℹ️  INFO     | optimizer                      | [HourlyMeanReversionStrategy/NATGAS.ETORO] [JSON_EVENT] {"backtest_ms": 5741, "data_window_days": 381.0, "data_window_end": "2026-06-30T00:00:00+00:00", "data_window_start": "2025-06-14T00:00:00+00:00", "event_type": "optimizer_trial_completed", "fill_ts_max": 1782705600000000000, "hit_trade_cap": false, "is_rejection_detail": "REJECT_OOS_MIN_PSR", "is_sortino_median": -6.510956665374072, "is_total_trades": 147, "oos_coherence_violation": false, "oos_coverage_gap_days": 0.0, "oos_covered": true, "oos_eligible": false, "oos_evaluated": true, "oos_expectancy": -0.007267665917390932, "oos_gate_deltas": {"oos_max_drawdown": 0.09585917057733831, "oos_min_excess_return": -0.10276962177809412, "oos_min_expectancy": -0.007417665917390932, "oos_min_profit_factor": -0.8654695355436421, "oos_min_profitable_folds_frac": -0.5, "oos_min_psr": -0.5999952987059365, "oos_min_sortino": -4.772902814115786, "oos_min_total_return": -0.20268422468159542, "oos_min_trades": 142.0, "oos_min_win_rate": 0.17}, "oos_profit_factor": 0.2345304644563579, "oos_rejection_reasons": ["oos_min_psr: 4.70129e-06 < 0.6 (Δ=-6.000e-01)"], "oos_sortino": -4.342902814115786, "oos_total_return": -0.20268422468159542, "oos_total_trades": 150, "oos_win_rate": 0.32, "oos_window_start_ns": 1767225600000000000, "outcome": "evaluable", "per_fold_oos_sortino": [-4.823647887135057, -5.647924787088587, -5.330589094193097, -6.130919487119637], "per_fold_oos_sortino_period": [-0.19807248814162964, -0.23516339395608965, -0.19823949938202381, -0.19316336370059248], "rejection_reason": "oos_gate_rejected", "reward": -5.318459681400952, "reward_terms": {"base": -4.430474694015283, "branch": "failure", "dd_penalty": 0.0, "divergence": 0.0, "divergence_at_cap": false, "floor_clamped": false, "fold_dispersion": 0.10985077615159033, "gate_distance_penalty": 0.75, "param_pen": 0.0, "tie_breaker": -0.010134211234079772, "time_box_penalty": 0.0, "turnover": 0.018}, "run_id": "c110fe38_20260816T090824052985", "strategy": "HourlyMeanReversionStrategy", "study_name": "study_HourlyMeanReversionStrategy_NATGAS_ETORO", "symbol": "NATGAS.ETORO", "timestamp_utc": "2026-08-16T09:08:37.441+00:00", "trial_number": 0}
