symbol,status,n_ticks,span_days,coverage_24_7,coverage_rth,ticks_per_bar_median
SMTC.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
SNAP.ETORO,OK,1809,1086.2,0.0694,0.0631,1.0
SOL.ETORO,OK,2142,1005.2,0.0888,0.0888,1.0
SQM.ETORO,OK,1752,1085.8,0.0672,0.1872,1.0
STX.US.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
TD.ETORO,OK,1751,1085.8,0.0672,0.1869,1.0
TEAM.ETORO,OK,1801,1086.2,0.0691,0.0651,1.0
TER.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
TEVA.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
TME.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
TSEM.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
TSLA.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
TTD.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
TTMI.ETORO,OK,1693,1000.8,0.0705,0.203,1.0
TVTX.ETORO,OK,1698,1005.8,0.0703,0.2023,1.0
TWST.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
TXG.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
UPST.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
USDTRY.ETORO,OK,1861,1086.2,0.0714,0.0714,1.0
USDZAR.ETORO,OK,1861,1086.2,0.0714,0.0714,1.0
VLO.ETORO,OK,1809,1086.2,0.0694,0.0772,1.0
VRT.ETORO,OK,1835,1086.2,0.0704,0.1642,1.0
VSH.ETORO,OK,1697,1005.8,0.0703,0.2021,1.0
WBD.ETORO,OK,1800,1086.2,0.069,0.0682,1.0
WDAY.ETORO,OK,1806,1086.2,0.0693,0.0717,1.0
WDC.ETORO,OK,1810,1086.2,0.0694,0.0631,1.0
WIX.ETORO,OK,1778,1086.0,0.0682,0.178,1.0
XOM.ETORO,OK,1811,1086.2,0.0695,0.0631,1.0
XPEV.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
XRP.ETORO,OK,2142,1005.2,0.0888,0.0888,1.0
Z.ETORO,OK,1751,1085.8,0.0672,0.187,1.0
ZS.ETORO,OK,1807,1086.2,0.0693,0.0631,1.0
ZTS.ETORO,OK,1812,1086.2,0.0695,0.0642,1.0
