2026-06-03 17:07:28,312 | INFO     | orchestrator | ╔════════════════════════════════════════════════════════════╗
2026-06-03 17:07:28,312 | INFO     | orchestrator | ║  eToro Nautilus — Daily Orchestrator v2.0                  ║
2026-06-03 17:07:28,313 | INFO     | orchestrator | ║  Start: 2026-06-03T15:07:28.313110+00:00                    ║
2026-06-03 17:07:28,313 | INFO     | orchestrator | ║  DRY-RUN: NEIN                                                 ║
2026-06-03 17:07:28,313 | INFO     | orchestrator | ║  Standalone: Kein adapters/-Import                        ║
2026-06-03 17:07:28,313 | INFO     | orchestrator | ╚════════════════════════════════════════════════════════════╝
2026-06-03 17:07:28,313 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "ORCHESTRATOR_START", "timestamp_utc": "2026-06-03T15:07:28.313596+00:00", "dry_run": false, "skip_api_fetch": false, "version": "2.0", "python": "3.12.3 (main, Mar 23 2026, 19:04:32) [GCC 13.3.0]"}
2026-06-03 17:07:28,313 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-06-03 17:07:28,314 | INFO     | orchestrator | PHASE 1: Universe & Mapping
2026-06-03 17:07:28,314 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-06-03 17:07:28,314 | WARNING  | orchestrator | [Phase 1] Universe-Daten sind 440.1h alt (> 24h). Bitte neu fetchen.
2026-06-03 17:07:28,315 | INFO     | orchestrator | [Phase 1] 49 eindeutige Instrumente im Universum.
2026-06-03 17:07:28,315 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "PHASE1_COMPLETE", "timestamp_utc": "2026-06-03T15:07:28.315090+00:00", "universe_size": 49, "unmapped_count": 0}
2026-06-03 17:07:28,315 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-06-03 17:07:28,315 | INFO     | orchestrator | PHASE 2: Datenbeschaffung (Multi-ZIP, Merge, API-Backfill)
2026-06-03 17:07:28,315 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
