2026-08-06T11:37:35.360+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.360+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 256.79, "required_days": 426.0, "delta_days": 169.21}
2026-08-06T11:37:35.360+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.360+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 319.79, "required_days": 426.0, "delta_days": 106.21}
2026-08-06T11:37:35.361+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.361+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 272.79, "required_days": 426.0, "delta_days": 153.21}
2026-08-06T11:37:35.361+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.361+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 256.79, "required_days": 426.0, "delta_days": 169.21}
2026-08-06T11:37:35.361+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.361+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 319.79, "required_days": 426.0, "delta_days": 106.21}
2026-08-06T11:37:35.362+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.362+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 272.79, "required_days": 426.0, "delta_days": 153.21}
2026-08-06T11:37:35.362+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.362+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 256.79, "required_days": 426.0, "delta_days": 169.21}
2026-08-06T11:37:35.362+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.362+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 319.79, "required_days": 426.0, "delta_days": 106.21}
2026-08-06T11:37:35.363+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.363+00:00", "strategy": null, "symbol": "BETA.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 272.79, "required_days": 426.0, "delta_days": 153.21}
2026-08-06T11:37:35.363+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-08-06T11:37:35.363+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "be341d57_20260806T113734093100", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 256.79, "required_days": 426.0, "delta_days": 169.21}
