2026-05-26 16:21:06,648 | INFO     | orchestrator | ╔════════════════════════════════════════════════════════════╗
2026-05-26 16:21:06,648 | INFO     | orchestrator | ║  eToro Nautilus — Daily Orchestrator v2.0                  ║
2026-05-26 16:21:06,648 | INFO     | orchestrator | ║  Start: 2026-05-26T14:21:06.648591+00:00                    ║
2026-05-26 16:21:06,648 | INFO     | orchestrator | ║  DRY-RUN: NEIN                                                 ║
2026-05-26 16:21:06,648 | INFO     | orchestrator | ║  Standalone: Kein adapters/-Import                        ║
2026-05-26 16:21:06,649 | INFO     | orchestrator | ╚════════════════════════════════════════════════════════════╝
2026-05-26 16:21:06,649 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "ORCHESTRATOR_START", "timestamp_utc": "2026-05-26T14:21:06.649385+00:00", "dry_run": false, "skip_api_fetch": false, "version": "2.0", "python": "3.12.3 (main, Mar 23 2026, 19:04:32) [GCC 13.3.0]"}
2026-05-26 16:21:06,650 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-26 16:21:06,650 | INFO     | orchestrator | PHASE 1: Universe & Mapping
2026-05-26 16:21:06,650 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-26 16:21:06,651 | WARNING  | orchestrator | [Phase 1] Universe-Daten sind 247.3h alt (> 24h). Bitte neu fetchen.
2026-05-26 16:21:06,652 | INFO     | orchestrator | [Phase 1] 49 eindeutige Instrumente im Universum.
2026-05-26 16:21:06,652 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "PHASE1_COMPLETE", "timestamp_utc": "2026-05-26T14:21:06.652687+00:00", "universe_size": 49, "unmapped_count": 0}
2026-05-26 16:21:06,653 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-26 16:21:06,653 | INFO     | orchestrator | PHASE 2: Datenbeschaffung (Multi-ZIP, Merge, API-Backfill)
2026-05-26 16:21:06,653 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-26 16:21:06,653 | INFO     | orchestrator | [Phase 2a] Keine ZIP-Dateien in data/import/ gefunden.
2026-05-26 16:21:06,655 | INFO     | api_backfiller | [api_backfiller] Universe geladen: 49 Instrumente.
2026-05-26 16:21:06,655 | INFO     | orchestrator | [Phase 2c] API-Backfill für 49 Symbole …
2026-05-26 16:21:06,656 | DEBUG    | asyncio | Using selector: EpollSelector
2026-05-26 16:21:06,656 | INFO     | api_backfiller | [api_backfiller] Starte Backfill: 2026-05-19 → 2026-05-26 | 49 Instrumente
