2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "XOM.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "NKE.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "LNTH.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "NFLX.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "VLO.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "FTI.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "GSAT.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "ENLT.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "AMD.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
2026-08-31T15:45:54.894+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"available_days": 0.0, "delta_days": 426.0, "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "event": "GATE_1_REJECTION", "event_type": "GATE_1_REJECTION", "required_days": 426.0, "run_id": "78e439c6_20260831T154554081962", "strategy": null, "study_name": null, "symbol": "TXG.ETORO", "timestamp_utc": "2026-08-31T15:45:54.894+00:00"}
