2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.068+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.068+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:40:22.069+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.069+00:00", "strategy": null, "symbol": "ESLT.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 250.71, "required_days": 426.0, "delta_days": 175.29}
2026-07-28T17:40:22.069+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"event_type": "GATE_1_REJECTION", "timestamp_utc": "2026-07-28T17:40:22.069+00:00", "strategy": null, "symbol": "NTSK.ETORO", "study_name": null, "run_id": "3836af54_20260728T174020944733", "event": "GATE_1_REJECTION", "error_category": "REJECT_DATA_INSUFFICIENT_GEOMETRY", "available_days": 313.71, "required_days": 426.0, "delta_days": 112.29}
2026-07-28T17:47:08.856+00:00 | ⚠️  WARNING  | optimizer                      | [SmaCrossoverStrategy/GOOG.ETORO] [#565] SmaCrossoverStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:08.922+00:00 | ⚠️  WARNING  | optimizer                      | [VolatilityBreakoutPumpStrategy/GOOG.ETORO] [#565] VolatilityBreakoutPumpStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:08.927+00:00 | ⚠️  WARNING  | optimizer                      | [Rsi2ReversionStrategy/GOOG.ETORO] [#565] Rsi2ReversionStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:08.927+00:00 | ⚠️  WARNING  | optimizer                      | [HourlyMeanReversionStrategy/GOOG.ETORO] [#565] HourlyMeanReversionStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:08.969+00:00 | ⚠️  WARNING  | optimizer                      | [FlashCrashReversalStrategy/GOOG.ETORO] [#565] FlashCrashReversalStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:08.971+00:00 | ⚠️  WARNING  | optimizer                      | [TrendPullbackStrategy/GOOG.ETORO] [#565] TrendPullbackStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:09.002+00:00 | ⚠️  WARNING  | optimizer                      | [OpeningRangeBreakoutStrategy/GOOG.ETORO] [#565] OpeningRangeBreakoutStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:09.006+00:00 | ⚠️  WARNING  | optimizer                      | [DonchianRegimeBreakoutStrategy/GOOG.ETORO] [#565] DonchianRegimeBreakoutStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:09.040+00:00 | ⚠️  WARNING  | optimizer                      | [MeanReversionStrategy/GOOG.ETORO] [#565] MeanReversionStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:09.049+00:00 | ⚠️  WARNING  | optimizer                      | [DynamicBreakoutStrategy/GOOG.ETORO] [#565] DynamicBreakoutStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:09.052+00:00 | ⚠️  WARNING  | optimizer                      | [AdxAtrMomentumStrategy/GOOG.ETORO] [#565] AdxAtrMomentumStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:09.083+00:00 | ⚠️  WARNING  | optimizer                      | [SqueezeBreakoutStrategy/GOOG.ETORO] [#565] SqueezeBreakoutStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:47:09.094+00:00 | ⚠️  WARNING  | optimizer                      | [VwapExhaustionStrategy/GOOG.ETORO] [#565] VwapExhaustionStrategy/GOOG.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
2026-07-28T17:49:22.061+00:00 | ⚠️  WARNING  | optimizer                      | [AdxAtrMomentumStrategy/GOOG.ETORO] 🚨 Floor-Plateau erkannt: kein evaluable Trial nach 34 Trials — das Symbol erzeugt nie evaluierbare OOS-Trades (Pitfall #75-Klasse). Bindende Ursache (#669): signal_absent (median_is_trades=0.0, frac_hit_trade_cap=0.0). Pruefe Daten-Suffizienz, OOS-Trade-Frequenz und Micro-Sizing-/min_trades-Gate. Per-Symbol-Tuning fuer dieses Symbol ist derzeit ein No-Op.
2026-07-28T17:49:22.159+00:00 | ⚠️  WARNING  | optimizer                      | [AdxAtrMomentumStrategy/GOOG.ETORO] [#770] GOOG.ETORO: budget_executed_fraction=0.28 (< 50%) — stop_reason=STRUCTURAL_ALL_UNEVALUABLE. Ein grosser Teil des konfigurierten Suchbudgets (34/120 Trials) wurde nicht ausgefuehrt.
