2026-08-18T15:13:33.755+00:00 | ℹ️  INFO     | optimizer                      | [VwapExhaustionStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "VwapExhaustionStrategy", "severity": "medium", "source": "sweep", "strategy": "VwapExhaustionStrategy", "study_name": "study_VwapExhaustionStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.755+00:00"}
2026-08-18T15:13:33.758+00:00 | ℹ️  INFO     | optimizer                      | [MeanReversionStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "MeanReversionStrategy", "severity": "medium", "source": "sweep", "strategy": "MeanReversionStrategy", "study_name": "study_MeanReversionStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.758+00:00"}
2026-08-18T15:13:33.765+00:00 | ℹ️  INFO     | optimizer                      | [HourlyMeanReversionStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "HourlyMeanReversionStrategy", "severity": "medium", "source": "sweep", "strategy": "HourlyMeanReversionStrategy", "study_name": "study_HourlyMeanReversionStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.765+00:00"}
2026-08-18T15:13:33.770+00:00 | ℹ️  INFO     | optimizer                      | [DynamicBreakoutStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "DynamicBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "DynamicBreakoutStrategy", "study_name": "study_DynamicBreakoutStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.770+00:00"}
2026-08-18T15:13:33.771+00:00 | ℹ️  INFO     | optimizer                      | [DonchianRegimeBreakoutStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "DonchianRegimeBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "DonchianRegimeBreakoutStrategy", "study_name": "study_DonchianRegimeBreakoutStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.771+00:00"}
2026-08-18T15:13:33.774+00:00 | ℹ️  INFO     | optimizer                      | [VolatilityBreakoutPumpStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "VolatilityBreakoutPumpStrategy", "severity": "medium", "source": "sweep", "strategy": "VolatilityBreakoutPumpStrategy", "study_name": "study_VolatilityBreakoutPumpStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.774+00:00"}
2026-08-18T15:13:33.774+00:00 | ℹ️  INFO     | optimizer                      | [SqueezeBreakoutStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "SqueezeBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "SqueezeBreakoutStrategy", "study_name": "study_SqueezeBreakoutStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.774+00:00"}
2026-08-18T15:13:33.774+00:00 | ℹ️  INFO     | optimizer                      | [SmaCrossoverStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "SmaCrossoverStrategy", "severity": "medium", "source": "sweep", "strategy": "SmaCrossoverStrategy", "study_name": "study_SmaCrossoverStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.774+00:00"}
2026-08-18T15:13:33.775+00:00 | ℹ️  INFO     | optimizer                      | [OpeningRangeBreakoutStrategy/TSLA.ETORO] [JSON_EVENT] {"actual": null, "check": "check_any_arm_reachability", "detail": "Alle eligible_requires_any-Klauseln erreichbar.", "event_type": "INVARIANT_STREAM_RESULT", "expected": "jede eligible_requires_any-Klausel liegt unter dem p99 der Referenzverteilung (strukturell erreichbar).", "name": "check_any_arm_reachability", "passed": true, "run_id": "fd960d37_20260818T151333003532", "scope": "OpeningRangeBreakoutStrategy", "severity": "medium", "source": "sweep", "strategy": "OpeningRangeBreakoutStrategy", "study_name": "study_OpeningRangeBreakoutStrategy_TSLA_ETORO", "symbol": "TSLA.ETORO", "timestamp_utc": "2026-08-18T15:13:33.775+00:00"}
2026-08-18T15:13:36.357+00:00 | ⚠️  WARNING  | optimizer                      | [SmaCrossoverStrategy/TSLA.ETORO] [#565] SmaCrossoverStrategy/TSLA.ETORO: kein global_best/Champion im Per-Symbol-Sweep (shrinkage_inactive) — Fallback auf strategy_defaults als Shrinkage-Referenz & Warm-Start-Seed (param_pen zieht Richtung Default statt ins Leere).
