2026-05-28 07:34:05,725 | INFO     | orchestrator | ╔════════════════════════════════════════════════════════════╗
2026-05-28 07:34:05,725 | INFO     | orchestrator | ║  eToro Nautilus — Daily Orchestrator v2.0                  ║
2026-05-28 07:34:05,725 | INFO     | orchestrator | ║  Start: 2026-05-28T05:34:05.725523+00:00                    ║
2026-05-28 07:34:05,725 | INFO     | orchestrator | ║  DRY-RUN: NEIN                                                 ║
2026-05-28 07:34:05,725 | INFO     | orchestrator | ║  Standalone: Kein adapters/-Import                        ║
2026-05-28 07:34:05,725 | INFO     | orchestrator | ╚════════════════════════════════════════════════════════════╝
2026-05-28 07:34:05,725 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "ORCHESTRATOR_START", "timestamp_utc": "2026-05-28T05:34:05.725903+00:00", "dry_run": false, "skip_api_fetch": false, "version": "2.0", "python": "3.12.3 (main, Mar 23 2026, 19:04:32) [GCC 13.3.0]"}
2026-05-28 07:34:05,726 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-28 07:34:05,726 | INFO     | orchestrator | PHASE 1: Universe & Mapping
2026-05-28 07:34:05,726 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-28 07:34:05,727 | WARNING  | orchestrator | [Phase 1] Universe-Daten sind 286.5h alt (> 24h). Bitte neu fetchen.
2026-05-28 07:34:05,727 | INFO     | orchestrator | [Phase 1] 49 eindeutige Instrumente im Universum.
2026-05-28 07:34:05,727 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "PHASE1_COMPLETE", "timestamp_utc": "2026-05-28T05:34:05.727307+00:00", "universe_size": 49, "unmapped_count": 0}
2026-05-28 07:34:05,727 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-28 07:34:05,727 | INFO     | orchestrator | PHASE 2: Datenbeschaffung (Multi-ZIP, Merge, API-Backfill)
2026-05-28 07:34:05,727 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-28 07:34:05,727 | INFO     | orchestrator | [Phase 2a] Keine ZIP-Dateien in data/import/ gefunden.
2026-05-28 07:34:05,728 | INFO     | api_backfiller | [api_backfiller] Universe geladen: 49 Instrumente.
2026-05-28 07:34:05,728 | INFO     | orchestrator | [Phase 2c] API-Backfill für 49 Symbole …
2026-05-28 07:34:05,729 | DEBUG    | asyncio | Using selector: EpollSelector
2026-05-28 07:34:05,729 | INFO     | api_backfiller | [api_backfiller] Starte Backfill: 2026-05-21 → 2026-05-28 | 49 Instrumente
2026-05-28 07:34:05,729 | INFO     | api_backfiller | [api_backfiller] Lade Instrument-Precisions via eToro API …
2026-05-28 07:34:07,316 | INFO     | api_backfiller | [api_backfiller] Precisions via API: 0/49 Instrumente.
2026-05-28 07:34:07,594 | DEBUG    | api_backfiller | [api_backfiller] ACN.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:07,595 | DEBUG    | api_backfiller | [api_backfiller] ADBE.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:07,597 | DEBUG    | api_backfiller | [api_backfiller] AG.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:08,044 | INFO     | api_backfiller | [api_backfiller] AG.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:08,047 | DEBUG    | api_backfiller | [api_backfiller] AG.ETORO: 69→42 Zeilen (-27 Duplikate)
2026-05-28 07:34:08,048 | INFO     | api_backfiller | [api_backfiller] AG.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:09,151 | DEBUG    | api_backfiller | [api_backfiller] CAT.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:09,152 | DEBUG    | api_backfiller | [api_backfiller] CHTR.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:09,154 | DEBUG    | api_backfiller | [api_backfiller] CIEN.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:09,579 | INFO     | api_backfiller | [api_backfiller] CIEN.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:09,583 | DEBUG    | api_backfiller | [api_backfiller] CIEN.ETORO: 69→42 Zeilen (-27 Duplikate)
2026-05-28 07:34:09,584 | INFO     | api_backfiller | [api_backfiller] CIEN.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:10,689 | DEBUG    | api_backfiller | [api_backfiller] CMG.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:10,692 | DEBUG    | api_backfiller | [api_backfiller] COHR.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:11,116 | INFO     | api_backfiller | [api_backfiller] COHR.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:11,119 | DEBUG    | api_backfiller | [api_backfiller] COHR.ETORO: 69→42 Zeilen (-27 Duplikate)
2026-05-28 07:34:11,120 | INFO     | api_backfiller | [api_backfiller] COHR.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:12,225 | DEBUG    | api_backfiller | [api_backfiller] CPRT.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:12,228 | DEBUG    | api_backfiller | [api_backfiller] CRM.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:12,231 | DEBUG    | api_backfiller | [api_backfiller] DOCU.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:12,652 | INFO     | api_backfiller | [api_backfiller] DOCU.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:12,658 | DEBUG    | api_backfiller | [api_backfiller] DOCU.ETORO: 69→42 Zeilen (-27 Duplikate)
2026-05-28 07:34:12,659 | INFO     | api_backfiller | [api_backfiller] DOCU.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:13,763 | DEBUG    | api_backfiller | [api_backfiller] DUOL.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:13,764 | DEBUG    | api_backfiller | [api_backfiller] E.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:14,187 | INFO     | api_backfiller | [api_backfiller] E.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:14,193 | DEBUG    | api_backfiller | [api_backfiller] E.ETORO: 69→42 Zeilen (-27 Duplikate)
2026-05-28 07:34:14,195 | INFO     | api_backfiller | [api_backfiller] E.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:15,298 | DEBUG    | api_backfiller | [api_backfiller] EEFT.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:15,724 | INFO     | api_backfiller | [api_backfiller] EEFT.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:15,727 | DEBUG    | api_backfiller | [api_backfiller] EEFT.ETORO: 69→42 Zeilen (-27 Duplikate)
2026-05-28 07:34:15,730 | INFO     | api_backfiller | [api_backfiller] EEFT.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:16,836 | DEBUG    | api_backfiller | [api_backfiller] ESLT.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:17,260 | INFO     | api_backfiller | [api_backfiller] ESLT.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:17,265 | DEBUG    | api_backfiller | [api_backfiller] ESLT.ETORO: 71→43 Zeilen (-28 Duplikate)
2026-05-28 07:34:17,267 | INFO     | api_backfiller | [api_backfiller] ESLT.ETORO: 43 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:18,373 | DEBUG    | api_backfiller | [api_backfiller] FICO.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:18,377 | DEBUG    | api_backfiller | [api_backfiller] FISV.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:18,381 | DEBUG    | api_backfiller | [api_backfiller] GLW.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:18,385 | DEBUG    | api_backfiller | [api_backfiller] GOOGL.ETORO: Daten aktuell (Lücke 0.6h) — überspringe.
2026-05-28 07:34:18,389 | DEBUG    | api_backfiller | [api_backfiller] GSAT.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:18,796 | INFO     | api_backfiller | [api_backfiller] GSAT.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:18,799 | DEBUG    | api_backfiller | [api_backfiller] GSAT.ETORO: 69→42 Zeilen (-27 Duplikate)
2026-05-28 07:34:18,802 | INFO     | api_backfiller | [api_backfiller] GSAT.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:19,912 | DEBUG    | api_backfiller | [api_backfiller] GTLB.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:20,332 | INFO     | api_backfiller | [api_backfiller] GTLB.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:20,337 | DEBUG    | api_backfiller | [api_backfiller] GTLB.ETORO: 57→42 Zeilen (-15 Duplikate)
2026-05-28 07:34:20,339 | INFO     | api_backfiller | [api_backfiller] GTLB.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:21,448 | DEBUG    | api_backfiller | [api_backfiller] HAL.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:21,867 | INFO     | api_backfiller | [api_backfiller] HAL.ETORO: 85 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:21,871 | DEBUG    | api_backfiller | [api_backfiller] HAL.ETORO: 176→128 Zeilen (-48 Duplikate)
2026-05-28 07:34:21,874 | INFO     | api_backfiller | [api_backfiller] HAL.ETORO: 128 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:22,983 | DEBUG    | api_backfiller | [api_backfiller] HUBS.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:23,404 | INFO     | api_backfiller | [api_backfiller] HUBS.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:23,409 | DEBUG    | api_backfiller | [api_backfiller] HUBS.ETORO: 57→42 Zeilen (-15 Duplikate)
2026-05-28 07:34:23,411 | INFO     | api_backfiller | [api_backfiller] HUBS.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:24,520 | DEBUG    | api_backfiller | [api_backfiller] INSW.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:24,941 | INFO     | api_backfiller | [api_backfiller] INSW.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:24,944 | DEBUG    | api_backfiller | [api_backfiller] INSW.ETORO: 57→42 Zeilen (-15 Duplikate)
2026-05-28 07:34:24,948 | INFO     | api_backfiller | [api_backfiller] INSW.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:26,057 | DEBUG    | api_backfiller | [api_backfiller] JNJ.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:26,475 | INFO     | api_backfiller | [api_backfiller] JNJ.ETORO: 90 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:26,481 | DEBUG    | api_backfiller | [api_backfiller] JNJ.ETORO: 194→141 Zeilen (-53 Duplikate)
2026-05-28 07:34:26,483 | INFO     | api_backfiller | [api_backfiller] JNJ.ETORO: 141 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:27,590 | DEBUG    | api_backfiller | [api_backfiller] LRCX.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:28,012 | INFO     | api_backfiller | [api_backfiller] LRCX.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:28,016 | DEBUG    | api_backfiller | [api_backfiller] LRCX.ETORO: 214→161 Zeilen (-53 Duplikate)
2026-05-28 07:34:28,019 | INFO     | api_backfiller | [api_backfiller] LRCX.ETORO: 161 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:29,128 | DEBUG    | api_backfiller | [api_backfiller] LULU.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:29,547 | INFO     | api_backfiller | [api_backfiller] LULU.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:29,553 | DEBUG    | api_backfiller | [api_backfiller] LULU.ETORO: 193→140 Zeilen (-53 Duplikate)
2026-05-28 07:34:29,554 | INFO     | api_backfiller | [api_backfiller] LULU.ETORO: 140 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:30,661 | DEBUG    | api_backfiller | [api_backfiller] MNDY.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:31,083 | INFO     | api_backfiller | [api_backfiller] MNDY.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:31,088 | DEBUG    | api_backfiller | [api_backfiller] MNDY.ETORO: 57→42 Zeilen (-15 Duplikate)
2026-05-28 07:34:31,091 | INFO     | api_backfiller | [api_backfiller] MNDY.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:32,198 | DEBUG    | api_backfiller | [api_backfiller] MTZ.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:32,722 | INFO     | api_backfiller | [api_backfiller] MTZ.ETORO: 27 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:32,727 | DEBUG    | api_backfiller | [api_backfiller] MTZ.ETORO: 57→42 Zeilen (-15 Duplikate)
2026-05-28 07:34:32,729 | INFO     | api_backfiller | [api_backfiller] MTZ.ETORO: 42 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:33,837 | DEBUG    | api_backfiller | [api_backfiller] MU.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:34,257 | INFO     | api_backfiller | [api_backfiller] MU.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:34,263 | DEBUG    | api_backfiller | [api_backfiller] MU.ETORO: 448→395 Zeilen (-53 Duplikate)
2026-05-28 07:34:34,265 | INFO     | api_backfiller | [api_backfiller] MU.ETORO: 395 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:35,375 | DEBUG    | api_backfiller | [api_backfiller] NOW.ETORO: Precision-Fallback price_prec=2, size_prec=0
2026-05-28 07:34:35,734 | INFO     | api_backfiller | [api_backfiller] NOW.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=0).
2026-05-28 07:34:35,739 | DEBUG    | api_backfiller | [api_backfiller] NOW.ETORO: 245→192 Zeilen (-53 Duplikate)
2026-05-28 07:34:35,741 | INFO     | api_backfiller | [api_backfiller] NOW.ETORO: 192 Zeilen gespeichert (price_prec=2, size_prec=0) → data.parquet
2026-05-28 07:34:36,850 | DEBUG    | api_backfiller | [api_backfiller] PBR.ETORO: Precision-Fallback price_prec=2, size_prec=0
