2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/140 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "AdxAtrMomentumStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["param_pen", "turnover"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=1.502304): ['param_pen', 'turnover'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": {"median_available": -0.024586, "median_missing": 0.050855, "n_available": 77, "n_missing": 29, "p_one_sided": 3.6637359812630166e-15, "z": 7.7778}, "check": "check_selection_statistic_economic_bias", "detail": "Median-OOS-Return der Kohorte OHNE Selektionsstatistik (0.0509, n=29) ist signifikant GRÖSSER als der der Kohorte MIT Statistik (-0.0246, n=77) — z=7.7778, p=3.66e-15 < 0.01. Die fehlende Statistik ist nicht MCAR: die Selektion verwirft bevorzugt die profitable Kohorte aus einem numerischen, nicht ökonomischen Grund (Pitfall #306).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "p >= 0.01 (Mann-Whitney, H1: Kohorte-ohne-Statistik > Kohorte-mit-Statistik)", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.3115, "check": "check_annualization_commensurability", "detail": "Trial-Index 81: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.311 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/106 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "HourlyMeanReversionStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["turnover"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=0.078174): ['turnover'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "SqueezeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 0.0, "check": "check_objective_branch_coverage", "detail": "Nur 0/180 Trials (0.00%) tragen die ordnende Qualitätsinformation (branch=='per_symbol') — unter der Schwelle (10%). Die Suche hat über den Grossteil der Auswertungen kein Ziel (Pitfall #124 — doppelt kodierte Feasibility).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "Anteil reward_terms.branch=='per_symbol' >= 0.1", "run_id": "6dbc228c_20260807T205802986791", "scope": "SqueezeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 26.0, "check": "check_inference_diagnostics_concentration", "detail": "26/1 informative Trials (2600.0%) wurden vom Inferenz-Wächter zensiert (SORTINO_GUARD_TRIPPED/SORTINO_INSUFFICIENT_DOWNSIDE, kein regulärer Ausgang) — die Suche ist faktisch zensiert (analog STUDY_GUARD_DOMINATED, #823).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "<= 10% der informativen Trials mit SORTINO_GUARD_TRIPPED/SORTINO_INSUFFICIENT_DOWNSIDE", "run_id": "6dbc228c_20260807T205802986791", "scope": "SqueezeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": ["divergence", "param_pen", "turnover", "fold_dispersion"], "check": "check_reward_term_variance", "detail": "Reward-Term(e) praktisch inert (std < 1.00% von reward_std=3.369008): ['divergence', 'param_pen', 'turnover', 'fold_dispersion'].", "event_type": "INVARIANT_CHECK_FAILED", "expected": [], "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
2026-08-08T13:34:01.488+00:00 | ❌ ERROR    | optimizer                      | [JSON_EVENT] {"actual": 1.2154, "check": "check_annualization_commensurability", "detail": "Trial-Index 1: sqrt(F)-Spannweite innerhalb des Trials beträgt Faktor 1.215 (> 1.05) — die Fold-Annualisierung ist über die Folds DESSELBEN Trials nicht kommensurabel; Fold-Mittel/-Median des annualisierten Sortino mitteln inkommensurable Grössen (Pitfall #310).", "event_type": "INVARIANT_CHECK_FAILED", "expected": "max(sqrt(F))/min(sqrt(F)) <= 1.05 je Trial", "run_id": "6dbc228c_20260807T205802986791", "scope": "OpeningRangeBreakoutStrategy/ASX.ETORO", "strategy": null, "study_name": null, "symbol": null, "timestamp_utc": "2026-08-08T13:34:01.488+00:00"}
